participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,isCorrectlyAnswered,responseMin,responseMax,startTime,endTime,duration,cleaned_times,dataset
574dc90512d86b000f833ab0,Post Study Survey,16,q1,completed,100.0,undefined,Which presentation modality did you find most effective?,Text and Visualization Combined,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q2,completed,100.0,undefined,Which condition did you find the least effective?,Just Text Description,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q3,completed,100.0,undefined,"If you were to receive information in the future, which format would you prefer?",Text and Visualization Combined,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q4,completed,100.0,undefined,Did you find UpSet plots easy to read?,5,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q5,completed,100.0,undefined,Did you find the text descriptions easy to read?,4,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q6,completed,100.0,undefined,Did you find the text description too short or too long?,3,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q7,completed,100.0,undefined,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","No, I don't think I missed anything.",undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q8,completed,100.0,undefined,How experienced are you with Data Visualization?,3,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
574dc90512d86b000f833ab0,Post Study Survey,16,q9,completed,100.0,undefined,Do you have any other comments?,,undefined,undefined,undefined,undefined,2024-08-21T23:13:21.652Z,2024-08-21T23:13:52.307Z,30655,30655,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q1,completed,100.0,undefined,Which presentation modality did you find most effective?,Just Visualization,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q2,completed,100.0,undefined,Which condition did you find the least effective?,Just Text Description,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q3,completed,100.0,undefined,"If you were to receive information in the future, which format would you prefer?",Just Visualization,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q4,completed,100.0,undefined,Did you find UpSet plots easy to read?,5,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q5,completed,100.0,undefined,Did you find the text descriptions easy to read?,4,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q6,completed,100.0,undefined,Did you find the text description too short or too long?,2,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q7,completed,100.0,undefined,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?","The text descriptions didn't seem to cover all cases, ignoring the tail events, which is fine if you're only interested in the big overlaps but it means you might be missing some more subtle overlaps. ",undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q8,completed,100.0,undefined,How experienced are you with Data Visualization?,5,undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5755c957eb80c4000741a9ce,Post Study Survey,16,q9,completed,100.0,undefined,Do you have any other comments?,"I'd not seen this kind of chart before, but it seems absolutely fantastic for charts that have rather large numbers of sets and I'm going to experiment with this later.",undefined,undefined,undefined,undefined,2024-08-27T20:38:47.396Z,2024-08-27T20:40:43.297Z,115901,115901,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q1,completed,100.0,undefined,Which presentation modality did you find most effective?,Just Text Description,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q2,completed,100.0,undefined,Which condition did you find the least effective?,Just Visualization,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q3,completed,100.0,undefined,"If you were to receive information in the future, which format would you prefer?",Just Text Description,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q4,completed,100.0,undefined,Did you find UpSet plots easy to read?,4,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q5,completed,100.0,undefined,Did you find the text descriptions easy to read?,5,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q6,completed,100.0,undefined,Did you find the text description too short or too long?,5,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q7,completed,100.0,undefined,"Please comment on the text descriptions. Did you miss anything in the text description? If yes, do you have suggestions for what should be included?",The text descriptions were better for me personally because I prefer textual information. ,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q8,completed,100.0,undefined,How experienced are you with Data Visualization?,1,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
5955a3eb98c9c400019f5c5f,Post Study Survey,16,q9,completed,100.0,undefined,Do you have any other comments?,No. ,undefined,undefined,undefined,undefined,2024-08-21T22:02:03.415Z,2024-08-21T22:03:31.373Z,87958,87958,Undefined
597fe89a1b41a20001749f57,Post Study Survey,16,q1,completed,100.0,undefined,Which presentation modality did you find most effective?,Text and Visualization Combined,undefined,undefined,undefined,undefined,2024-08-21T21:54:04.706Z,2024-08-21T21:55:07.403Z,62697,62697,Undefined
597fe89a1b41a20001749f57,Post Study Survey,16,q2,completed,100.0,undefined,Which condition did you find the least effective?,Just Text Description,undefined,undefined,undefined,undefined,2024-08-21T21:54:04.706Z,2024-08-21T21:55:07.403Z,62697,62697,Undefined
