participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,dataset
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,6,undefined,0,100,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq2,completed,100.0,Content: Text Only,What is the largest set?,Fatigue,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,Empty Intersection,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,281,undefined,0,1000000000,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,Low set,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a lot,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,1,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q1,7,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,1,undefined,undefined,undefined,2024-07-31T04:01:44.092Z,2024-07-31T04:13:04.386Z,680294,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q2,8,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,4,undefined,undefined,undefined,2024-07-31T04:13:04.413Z,2024-07-31T04:13:29.390Z,24977,Covid Symptoms
2033c860-b467-42e3-ab2e-19ca44e65b0a,Covid-Text-Q2,8,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,4,undefined,undefined,undefined,2024-07-31T04:13:04.413Z,2024-07-31T04:13:29.390Z,24977,Covid Symptoms
